Nombre del Campo,Descripción en Español
VendorID,"Código que indica el proveedor LPEP que proporcionó el registro. 1 = Creative Mobile Technologies, LLC; 2 = Curb Mobility, LLC; 6 = Myle Technologies Inc"
lpep_pickup_datetime,Fecha y hora en que se activó el taxímetro.
lpep_dropoff_datetime,Fecha y hora en que se desactivó el taxímetro.
store_and_fwd_flag,Indica si el viaje fue almacenado temporalmente en la memoria del vehículo antes de enviarse al servidor (‘store and forward’).
RatecodeID,Código de tarifa final vigente al final del viaje. 1 = Tarifa estándar; 2 = JFK; 3 = Newark; 4 = Nassau o Westchester; 5 = Tarifa negociada; 6 = Viaje grupal; 99 = Desconocido.
PULocationID,Zona TLC donde se activó el taxímetro.
DOLocationID,Zona TLC donde se desactivó el taxímetro.
passenger_count,Número de pasajeros en el vehículo.
trip_distance,Distancia total del viaje en millas reportada por el taxímetro.
fare_amount,Tarifa basada en tiempo y distancia calculada por el taxímetro.
extra,Cargos adicionales y recargos varios.
mta_tax,Impuesto MTA activado automáticamente según la tarifa en uso.
tip_amount,"Monto de la propina (solo se incluyen propinas con tarjeta, no en efectivo)."
tolls_amount,Monto total de peajes pagados durante el viaje.
improvement_surcharge,Recargo por mejora aplicado al inicio del viaje (vigente desde 2015).
total_amount,Monto total cobrado al pasajero (sin incluir propinas en efectivo).
payment_type,Código que indica el método de pago. 0 = Viaje Flex Fare; 1 = Tarjeta de crédito; 2 = Efectivo; 3 = Sin cargo; 4 = Disputa; 5 = Desconocido; 6 = Viaje anulado.
trip_type,Código que indica si el viaje fue por parada en la calle o por despacho. 1 = Calle; 2 = Despacho.
congestion_surcharge,Monto cobrado por recargo de congestión de Nueva York.
cbd_congestion_fee,Cargo por viaje en la Zona de Alivio de Congestión del MTA (vigente desde 5 de enero de 2025).
